,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
433,the wayside cottage munnar,munnar,9.1,superb,2×three-bedroom house2 entire holiday homes,27000.0,3240.0,munnar,10,0,30240.0,recommended for friends trip
434,munnar home stay,munnar,8.4,very good,"1×double room with mountain view2 beds (1 single, 1 double)free cancellation",22000.0,2640.0,munnar,10,0,24640.0,recommended for friends trip
435,red star holidays,munnar,7.6,good,5×deluxe double room5 large double bedsfree cancellationno prepayment needed– pay at the property,37500.0,4500.0,munnar,10,0,42000.0,recommended for friends trip
436,k mansion,munnar,9.3,superb,1×standard double room1 large double bedfree cancellation,57460.0,6895.0,munnar,10,0,64355.0,recommended for friends trip
437,bhrs residency,munnar,9.1,superb,1×double room with balcony (lower floor with two attached bedrooms and kitchen)2 large double bedsfree cancellation,51000.0,6120.0,munnar,10,0,57120.0,recommended for friends trip
438,violet woods,munnar,7.6,good,4×deluxe double room4 double bedsfree cancellation,59200.0,7104.0,munnar,10,0,66304.0,recommended for friends trip
439,beauty spot munnar,munnar,8.2,very good,1×double room with balcony1 extra-large double bedfree cancellationno prepayment needed– pay at the property,56630.0,6796.0,munnar,10,0,63426.0,recommended for friends trip
440,skylark holidays munnar,munnar,6.6,review score,5×double room5 large double beds,33750.0,4050.0,munnar,10,0,37800.0,recommended for friends trip
441,msp amma cottage,munnar,8.8,fabulous,5×budget double room5 large double beds,37475.0,4497.0,munnar,10,0,41972.0,recommended for friends trip
442,gokulam home stay,munnar,7.5,good,"1×family room2 beds (1 extra-large double, 1 sofa bed)free cancellationno prepayment needed– pay at the property",43750.0,5250.0,munnar,10,0,49000.0,recommended for friends trip
443,landy queen,munnar,9.1,superb,1×queen room with balcony1 large double bedfree cancellation,47250.0,5670.0,munnar,10,0,52920.0,recommended for friends trip
444,nature dale munnar,munnar,8.1,very good,2×deluxe double room with balcony2 double beds,32975.0,3957.0,munnar,10,0,36932.0,recommended for friends trip
445,beauty spot munnar,munnar,8.2,very good,1×double room with balcony1 extra-large double bedfree cancellationno prepayment needed– pay at the property,56630.0,6796.0,munnar,8,2,63426.0,recommended for family trip
446,monsoon grande,munnar,8.4,very good,5×grand deluxechoice of beds: double or singlesfree cancellation,54400.0,6528.0,munnar,8,2,60928.0,recommended for family trip
447,bhrs residency,munnar,9.1,superb,1×double room with balcony (lower floor with two attached bedrooms and kitchen)2 large double bedsfree cancellation,51000.0,6120.0,munnar,8,2,57120.0,recommended for family trip
448,kurinji wanderlust resort munnar,munnar,8.4,very good,1×deluxe double room with balcony1 large double bed,45399.0,5448.0,munnar,8,2,50847.0,recommended for family trip
449,the wayside cottage munnar,munnar,9.1,superb,2×three-bedroom house2 entire holiday homes,27000.0,3240.0,munnar,8,2,30240.0,recommended for family trip
450,k mansion,munnar,9.3,superb,1×bed in 8-bed mixed dormitory roombed in dormitory1 bunk bedfree cancellation,57465.0,6896.0,munnar,8,2,64361.0,recommended for family trip
451,munnar home stay,munnar,8.4,very good,"2×double room with mountain view4 beds (2 singles, 2 doubles)free cancellation",28000.0,3360.0,munnar,8,2,31360.0,recommended for family trip
452,edens munnar,munnar,8.1,very good,5×deluxe double or twin room5 large double bedsfree cancellation,82500.0,9900.0,munnar,8,2,92400.0,recommended for family trip
453,"palmtree leaf, munnar",munnar,8.3,very good,5×double room with balcony5 large double bedsfree cancellation,86141.0,10337.0,munnar,8,2,96478.0,recommended for family trip
454,veu munnar retreat,munnar,6.6,review score,4×deluxe room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,46000.0,5520.0,munnar,8,2,51520.0,recommended for family trip
455,munnar tea estate cottage and resort - away from city hustle,munnar,7.3,good,5×deluxe double room with balcony5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,74750.0,8970.0,munnar,8,2,83720.0,recommended for family trip
456,7 malai munnar,munnar,8.2,No Review,5×double room with mountain view5 double bedsfree cancellationno prepayment needed– pay at the property,60000.0,7200.0,munnar,8,2,67200.0,recommended for family trip
457,red star holidays,munnar,7.6,good,5×deluxe double room5 large double bedsfree cancellationno prepayment needed– pay at the property,37500.0,4500.0,munnar,8,2,42000.0,recommended for family trip
458,green trees munnar,munnar,7.3,good,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,56250.0,6750.0,munnar,8,2,63000.0,recommended for family trip
459,landy queen,munnar,9.1,superb,1×queen room with balcony1 large double bedfree cancellation,47250.0,5670.0,munnar,8,2,52920.0,recommended for family trip
460,violet woods,munnar,7.6,good,4×deluxe double room4 double bedsfree cancellation,58400.0,7008.0,munnar,8,2,65408.0,recommended for family trip
461,zenha resorts,munnar,8.4,very good,2×suite with mountain view2 private suites,80000.0,9600.0,munnar,8,2,89600.0,recommended for family trip
462,pleasant hill resort,munnar,8.6,fabulous,5×deluxe double room with balcony5 large double bedsfree cancellation,74542.0,8945.0,munnar,8,2,83487.0,recommended for family trip
463,munnar blue mist,munnar,8.8,fabulous,1×three-bedroom villaentire villa,50000.0,6000.0,munnar,8,2,56000.0,recommended for family trip
464,beauty spot munnar,munnar,8.2,very good,1×double room with balcony1 extra-large double bedfree cancellationno prepayment needed– pay at the property,56630.0,6796.0,munnar,6,4,63426.0,recommended for family trip
465,veu munnar retreat,munnar,6.6,review score,4×deluxe room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,46000.0,5520.0,munnar,6,4,51520.0,recommended for family trip
466,bhrs residency,munnar,9.1,superb,1×double room with balcony (lower floor with two attached bedrooms and kitchen)2 large double bedsfree cancellation,51000.0,6120.0,munnar,6,4,57120.0,recommended for family trip
467,monsoon grande,munnar,8.4,very good,4×grand deluxechoice of beds: double or singles,48144.0,5777.0,munnar,6,4,53921.0,recommended for family trip
468,the wayside cottage munnar,munnar,9.1,superb,2×three-bedroom house2 entire holiday homes,27000.0,3240.0,munnar,6,4,30240.0,recommended for family trip
469,7 malai munnar,munnar,8.2,No Review,5×double room with mountain view5 double bedsfree cancellationno prepayment needed– pay at the property,60000.0,7200.0,munnar,6,4,67200.0,recommended for family trip
470,red star holidays,munnar,7.6,good,4×deluxe double room4 large double bedsfree cancellationno prepayment needed– pay at the property,30000.0,3600.0,munnar,6,4,33600.0,recommended for family trip
471,chithirapuram palace,munnar,9.3,superb,4×super deluxe room with balcony4 double beds,80997.0,9720.0,munnar,6,4,90717.0,recommended for family trip
472,thoppil homestay munnar,munnar,9.4,superb,3×budget double room6 single bedsfree cancellation,37500.0,4500.0,munnar,6,4,42000.0,recommended for family trip
473,achus holidays,munnar,7.8,good,4×deluxe double room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,28481.0,3418.0,munnar,6,4,31899.0,recommended for family trip
474,munnar lush greens,munnar,8.7,fabulous,3×double room3 large double bedsfree cancellation,25485.0,3058.0,munnar,6,4,28543.0,recommended for family trip
475,ice mist pool resort munnar by voye homes,munnar,7.5,good,2×standard quadruple room2 large double bedsfree cancellation,69300.0,8316.0,munnar,6,4,77616.0,recommended for family trip
476,vibgyor homes,munnar,8.3,very good,4×deluxe double room with extra bed4 double bedsfree cancellationno prepayment needed– pay at the property,27402.0,3288.0,munnar,6,4,30690.0,recommended for family trip
477,edens munnar,munnar,8.1,very good,5×deluxe double or twin room5 large double bedsfree cancellation,82500.0,9900.0,munnar,6,4,92400.0,recommended for family trip
478,nest in mist munnar service villa,munnar,8.6,fabulous,2×double room2 double bedsfree cancellation,42175.0,5061.0,munnar,6,4,47236.0,recommended for family trip
479,munnar tea estate cottage and resort - away from city hustle,munnar,7.3,good,4×deluxe double room with balcony4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,69800.0,8376.0,munnar,6,4,78176.0,recommended for family trip
480,nature dale munnar,munnar,8.1,very good,1×deluxe double room with balcony1 double bed,28980.0,3478.0,munnar,6,4,32458.0,recommended for family trip
481,pleasant hill resort,munnar,8.6,fabulous,4×deluxe double room with balcony4 large double bedsfree cancellation,64853.0,7782.0,munnar,6,4,72635.0,recommended for family trip
482,grand plaza,munnar,8.6,fabulous,4×elegance room4 extra-large double beds,72556.0,8707.0,munnar,6,4,81263.0,recommended for family trip
483,violet woods,munnar,7.6,good,4×deluxe double room4 double bedsfree cancellation,57600.0,6912.0,munnar,6,4,64512.0,recommended for family trip
